,Basic Materials_logp,Communication Services_logp,Consumer Cyclical_logp,Consumer Defensive_logp,Energy_logp,Financial Services_logp,Healthcare_logp,Industrials_logp,Real Estate_logp,Technology_logp,Utilities_logp,Income Elasticity
Basic Materials_w,-3.004620581227543,-3.511598547632621,8.283203239793195,-7.15729076079901,1.4709930023297735,-0.7572236643738662,5.313547118529483,25.85214869570722,-4.983430435344613,-24.94283523000404,10.723381406198389,1.474466753631385
Communication Services_w,12.55854316291175,4.3549518882224945,13.683482161656686,4.0496703932890155,-2.58137343095921,1.627136241573609,16.59758416222769,-14.826969024347054,-2.9002834416157848,-17.84759228066283,-2.3457081251566936,0.5142832025272994
Consumer Cyclical_w,0.6691712271750476,0.31342165008702544,0.08278708597663785,1.9234836022507649,-7.738006046119059,7.856956851815958,5.367531671062758,5.875186172281665,-7.592114735275757,-7.377200843640026,-2.7853363368125352,1.0390404823789885
Consumer Defensive_w,-3.032955223871702,1.0732013221467478,-2.4370182207629143,8.72154732435954,-0.3393295613268451,0.47625928192113,-7.076859225030902,0.9576837250541027,1.3703570702017867,0.7344917419272289,-1.8984242524593051,0.8214724034623883
Energy_w,-2.4953235845869237,-1.6489090568879636,-21.167958949834034,47.740657223587945,12.952869611879967,15.05656011385123,-7.7731230768877815,-27.216485755243603,-6.253369076044149,17.909431566230932,-6.287137357031475,0.6879010657123013
Financial Services_w,-1.864453031748404,0.09977298430371709,3.0353559840846636,-7.448077400054834,0.7686771674333108,-0.6717617400339735,1.0131243337565579,5.43905326109656,-1.0196000063224084,-2.8877178737021096,1.6365322476664885,1.0959632049234849
Healthcare_w,21.08568501211515,7.62168026049577,-14.076836808342822,-4.179214640471419,-5.803052450012679,-10.18886816672085,-2.497822616437733,1.2613980805116243,2.2992717054807503,-0.11503085140783904,4.668891104459498,1.1511669103659283
Industrials_w,-13.341231167283626,-6.603436082226744,12.366390591460439,2.3526277562651328,1.087101359231593,4.229035315072735,-3.2268831971906997,20.15235343253138,-8.906308611885141,-18.831609016667958,16.71244949926973,1.070071831379565
Real Estate_w,6.10404520313707,-4.1486752235383735,-2.1191587093386843,-29.3650750961773,-10.05756052674533,1.5069684616340921,14.825214388303113,6.607910328224172,3.103343104817765,-0.08596877947722349,-4.038747893121197,1.1728026354744594
Technology_w,7.770188628978522,-3.1765316828375916,0.5767730504587039,-10.689252268784296,-2.154357340965785,-3.0743137448071076,10.649724841306439,-11.640523222231378,4.1317093153964475,9.422125143704623,-1.8411691446135918,1.2257505980053904
Utilities_w,-24.449049645599338,5.626122487867539,1.7729805748481333,-5.949076133465537,12.394038215254264,-16.060748949932957,-33.192038399638925,-12.46175569358469,20.750425110591102,44.02190642369925,-14.544731148399308,-10.25291908786119
